Date,Region,StockCode,Units_Sold,Current_Stock,Reorder_Triggered
2011-01-19,Australia,22384,20,980,0
2011-04-08,Australia,22384,30,950,0
2011-09-28,Australia,22384,10,940,0
2011-11-15,Australia,22384,100,840,0
2011-10-05,Australia,22386,100,900,0
2011-10-06,Australia,22411,10,990,0
2011-02-15,Australia,22423,64,936,0
2011-03-03,Australia,22423,32,904,0
2011-06-15,Australia,22423,32,872,0
2011-08-18,Australia,22423,32,840,0
2011-10-05,Australia,22423,16,824,0
2011-10-06,Australia,22423,4,820,0
2011-05-17,Australia,22457,144,856,0
2011-02-15,Australia,22666,96,904,0
2011-03-03,Australia,22666,72,832,0
2011-02-15,Australia,22697,72,928,0
2011-05-12,Australia,22697,6,922,0
2011-05-17,Australia,22697,24,898,0
2011-08-18,Australia,22697,48,850,0
2011-02-15,Australia,22699,72,928,0
2011-03-03,Australia,22699,24,904,0
2011-05-12,Australia,22699,6,898,0
2011-05-17,Australia,22699,24,874,0
2011-06-15,Australia,22699,24,850,0
2011-07-19,Australia,22699,6,844,0
2011-08-18,Australia,22699,48,796,0
2011-10-05,Australia,22699,24,772,0
2011-01-06,Australia,22720,240,760,0
2011-01-17,Australia,22720,3,757,0
2011-02-07,Australia,22720,6,751,0
2011-03-09,Australia,22720,6,745,0
2011-06-15,Australia,22720,96,649,0
2011-07-19,Australia,22720,1,648,0
2011-08-18,Australia,22720,64,584,0
2011-09-25,Australia,22720,16,568,0
2011-10-05,Australia,22720,32,536,0
2010-12-01,Australia,22726,4,996,0
2011-01-28,Australia,22726,4,992,0
2011-07-19,Australia,22726,4,988,0
2011-07-24,Australia,22726,4,984,0
2011-10-05,Australia,22726,50,934,0
2011-10-06,Australia,22726,12,922,0
2010-12-01,Australia,22727,4,996,0
2011-01-28,Australia,22727,4,992,0
2011-07-19,Australia,22727,4,988,0
2011-07-24,Australia,22727,4,984,0
2011-10-05,Australia,22727,50,934,0
2011-10-06,Australia,22727,12,922,0
2011-01-17,Australia,22960,12,988,0
2011-01-20,Australia,22960,6,982,0
2011-02-07,Australia,22960,6,976,0
2011-02-15,Australia,22960,96,880,0
2011-03-03,Australia,22960,120,760,0
2011-06-15,Australia,22960,36,724,0
2011-01-17,Australia,22961,24,976,0
2011-03-03,Australia,22961,96,880,0
2011-03-03,Australia,22993,144,856,0
2011-04-08,Australia,22993,12,844,0
2011-06-15,Australia,22993,72,772,0
2011-08-18,Australia,22993,72,700,0
2011-05-12,Australia,23084,12,988,0
2011-06-15,Australia,23084,240,748,0
2011-11-03,Australia,23084,96,652,0
2011-11-04,Australia,23084,336,316,0
2011-11-15,Australia,23084,1200,0,1
2011-09-05,Australia,23199,10,990,0
2011-06-15,Australia,23203,100,900,0
2011-07-19,Australia,23203,1,899,0
2011-08-18,Australia,23203,100,799,0
2011-05-12,Australia,23206,10,990,0
2011-06-15,Australia,23206,100,890,0
2011-07-19,Australia,23206,1,889,0
2011-09-05,Australia,23206,10,879,0
2011-10-05,Australia,23206,100,779,0
2011-11-15,Australia,23206,100,679,0
2011-06-15,Australia,23209,100,900,0
2011-07-19,Australia,23209,1,899,0
2011-08-18,Australia,23209,200,699,0
2011-09-05,Australia,23209,10,689,0
2011-05-17,Australia,23298,50,950,0
2011-06-30,Australia,23298,24,926,0
2011-07-14,Australia,23298,6,920,0
2011-07-19,Australia,23298,6,914,0
2011-08-18,Australia,23298,100,814,0
2011-09-16,Australia,23298,3,811,0
2011-10-06,Australia,23298,3,808,0
2011-05-23,Australia,23301,12,988,0
2011-06-15,Australia,23301,24,964,0
2011-07-24,Australia,23301,24,940,0
2011-01-17,Australia,47566,5,995,0
2011-02-07,Australia,47566,4,991,0
2011-03-09,Australia,47566,12,979,0
2011-05-17,Australia,47566,100,879,0
2011-06-30,Australia,47566,24,855,0
2011-07-14,Australia,47566,8,847,0
2011-08-18,Australia,47566,100,747,0
2011-09-25,Australia,47566,12,735,0
2010-12-17,Australia,85099B,10,990,0
2011-06-15,Australia,85099B,100,890,0
2011-07-19,Australia,85099B,1,889,0
2011-08-18,Australia,85099B,100,789,0
2011-01-19,Australia,85099C,10,990,0
2011-01-20,Australia,85123A,6,994,0
2011-04-01,Australia,POST,1,999,0
2011-02-01,Austria,20724,30,970,0
2011-02-01,Austria,20726,20,980,0
2011-02-01,Austria,20728,20,980,0
2011-05-23,Austria,21080,12,988,0
2011-04-26,Austria,21212,24,976,0
2011-02-01,Austria,21931,20,980,0
2011-07-28,Austria,22077,12,988,0
2011-08-08,Austria,22077,12,976,0
2011-07-28,Austria,22138,3,997,0
2011-10-18,Austria,22138,3,994,0
2011-03-03,Austria,22139,12,988,0
2011-03-23,Austria,22139,24,964,0
2011-07-28,Austria,22139,3,961,0
2011-10-18,Austria,22139,6,955,0
2011-04-26,Austria,22423,2,998,0
2011-11-14,Austria,22423,2,996,0
2011-08-08,Austria,22666,6,994,0
2011-03-23,Austria,22697,6,994,0
2011-03-23,Austria,22699,6,994,0
2011-03-23,Austria,22960,12,988,0
2011-04-26,Austria,22960,6,982,0
2011-07-28,Austria,22961,12,988,0
2011-08-08,Austria,22961,12,976,0
2011-04-26,Austria,22993,12,988,0
2011-08-19,Austria,23199,10,990,0
2011-08-08,Austria,23301,12,988,0
2011-05-06,Austria,47566,8,992,0
2011-03-03,Austria,84879,16,984,0
2011-04-26,Austria,84879,8,976,0
2011-02-01,Austria,85099B,10,990,0
2010-12-17,Austria,POST,3,997,0
2011-02-01,Austria,POST,1,996,0
2011-02-02,Austria,POST,1,995,0
2011-03-03,Austria,POST,1,994,0
2011-03-23,Austria,POST,9,985,0
2011-04-26,Austria,POST,3,982,0
2011-05-06,Austria,POST,1,981,0
2011-05-23,Austria,POST,4,977,0
2011-07-12,Austria,POST,2,975,0
2011-08-19,Austria,POST,2,973,0
2011-10-18,Austria,POST,3,970,0
2011-11-14,Austria,POST,3,967,0
2011-12-08,Austria,POST,4,963,0
2011-05-09,Bahrain,22423,2,998,0
2011-05-09,Bahrain,22697,6,994,0
2011-05-09,Bahrain,22699,6,994,0
2010-12-17,Belgium,20724,10,990,0
2011-02-17,Belgium,20724,10,980,0
2011-02-21,Belgium,20724,10,970,0
2011-03-23,Belgium,20724,100,870,0
2011-03-24,Belgium,20724,10,860,0
2011-05-27,Belgium,20724,20,840,0
2011-06-01,Belgium,20724,10,830,0
2011-06-05,Belgium,20724,10,820,0
2011-06-07,Belgium,20724,10,810,0
2011-06-17,Belgium,20724,20,790,0
2011-06-23,Belgium,20724,10,780,0
2011-08-31,Belgium,20724,10,770,0
2011-10-13,Belgium,20724,10,760,0
2011-12-09,Belgium,20724,10,750,0
2011-02-17,Belgium,20725,10,990,0
2011-02-25,Belgium,20725,10,980,0
2011-03-21,Belgium,20725,10,970,0
2011-03-23,Belgium,20725,10,960,0
2011-05-10,Belgium,20725,10,950,0
2011-06-07,Belgium,20725,10,940,0
2011-07-27,Belgium,20725,10,930,0
2011-08-12,Belgium,20725,30,900,0
2011-09-19,Belgium,20725,10,890,0
2011-09-22,Belgium,20725,10,880,0
2011-10-11,Belgium,20725,10,870,0
2011-11-17,Belgium,20725,10,860,0
2011-02-17,Belgium,20726,10,990,0
2011-02-25,Belgium,20726,10,980,0
2011-04-12,Belgium,20726,10,970,0
2011-05-10,Belgium,20726,10,960,0
2011-06-05,Belgium,20726,10,950,0
2011-06-07,Belgium,20726,10,940,0
2011-06-17,Belgium,20726,10,930,0
2011-07-27,Belgium,20726,10,920,0
2011-08-11,Belgium,20726,10,910,0
2011-09-19,Belgium,20726,10,900,0
2011-09-22,Belgium,20726,10,890,0
2011-09-28,Belgium,20726,10,880,0
2011-10-10,Belgium,20726,20,860,0
2011-11-17,Belgium,20726,10,850,0
2011-11-18,Belgium,20726,10,840,0
2011-05-10,Belgium,20727,10,990,0
2011-02-17,Belgium,20728,10,990,0
2011-06-07,Belgium,20728,10,980,0
2011-08-11,Belgium,20728,10,970,0
2011-09-19,Belgium,20728,10,960,0
2010-12-22,Belgium,21080,12,988,0
2011-02-17,Belgium,21080,12,976,0
2011-03-23,Belgium,21080,24,952,0
2011-06-22,Belgium,21080,12,940,0
2011-08-19,Belgium,21080,12,928,0
2011-09-21,Belgium,21080,12,916,0
2011-10-28,Belgium,21080,12,904,0
2011-10-30,Belgium,21080,12,892,0
2010-12-03,Belgium,21212,120,880,0
2010-12-22,Belgium,21212,24,856,0
2011-03-23,Belgium,21212,24,832,0
2011-04-18,Belgium,21212,48,784,0
2011-05-10,Belgium,21212,48,736,0
2011-05-27,Belgium,21212,24,712,0
2011-06-22,Belgium,21212,24,688,0
2011-06-23,Belgium,21212,24,664,0
2011-08-19,Belgium,21212,24,640,0
2011-09-21,Belgium,21212,24,616,0
2011-10-13,Belgium,21212,72,544,0
2011-10-14,Belgium,21212,24,520,0
2011-05-27,Belgium,21931,10,990,0
2011-09-22,Belgium,21931,10,980,0
2011-11-18,Belgium,21931,20,960,0
2011-12-06,Belgium,21931,10,950,0
2011-05-17,Belgium,22077,12,988,0
2011-08-12,Belgium,22077,12,976,0
2011-07-06,Belgium,22138,3,997,0
2011-07-27,Belgium,22138,3,994,0
2011-09-28,Belgium,22138,6,988,0
2011-10-13,Belgium,22138,3,985,0
2011-05-27,Belgium,22139,3,997,0
2011-07-07,Belgium,22139,3,994,0
2011-07-27,Belgium,22139,3,991,0
2011-11-22,Belgium,22139,3,988,0
2011-11-04,Belgium,22197,36,964,0
2011-02-17,Belgium,22382,10,990,0
2011-02-25,Belgium,22382,10,980,0
2011-03-21,Belgium,22382,10,970,0
2011-04-28,Belgium,22382,20,950,0
2011-05-10,Belgium,22382,10,940,0
2011-06-05,Belgium,22382,10,930,0
2011-06-07,Belgium,22382,10,920,0
2011-07-27,Belgium,22382,10,910,0
2011-09-19,Belgium,22382,10,900,0
2011-10-11,Belgium,22382,10,890,0
2011-11-18,Belgium,22382,10,880,0
2011-04-28,Belgium,22383,10,990,0
2011-06-07,Belgium,22383,10,980,0
2011-09-19,Belgium,22383,10,970,0
2011-10-11,Belgium,22383,10,960,0
2011-06-07,Belgium,22384,10,990,0
2011-09-19,Belgium,22384,10,980,0
2011-09-22,Belgium,22384,10,970,0
2011-06-07,Belgium,22386,10,990,0
2011-09-22,Belgium,22386,10,980,0
2010-12-17,Belgium,22423,4,996,0
2011-02-09,Belgium,22423,2,994,0
2011-05-05,Belgium,22423,1,993,0
2011-05-17,Belgium,22423,1,992,0
2011-05-27,Belgium,22423,2,990,0
2011-07-07,Belgium,22423,1,989,0
2011-07-27,Belgium,22423,3,986,0
2011-08-25,Belgium,22423,3,983,0
2011-10-04,Belgium,22423,6,977,0
2011-10-13,Belgium,22423,6,971,0
2011-10-17,Belgium,22423,1,970,0
2011-10-31,Belgium,22423,2,968,0
2011-11-04,Belgium,22423,10,958,0
2011-11-08,Belgium,22423,1,957,0
2011-12-06,Belgium,22423,4,953,0
2011-03-01,Belgium,22457,6,994,0
2011-08-19,Belgium,22457,6,988,0
2010-12-17,Belgium,22666,12,988,0
2011-03-24,Belgium,22666,6,982,0
2011-05-12,Belgium,22666,6,976,0
2011-06-05,Belgium,22666,6,970,0
2011-06-17,Belgium,22666,6,964,0
2011-09-02,Belgium,22666,6,958,0
2011-12-06,Belgium,22666,6,952,0
2011-10-04,Belgium,22697,6,994,0
2011-06-05,Belgium,22699,12,988,0
2011-07-07,Belgium,22699,6,982,0
2011-09-28,Belgium,22699,12,970,0
2011-10-04,Belgium,22699,6,964,0
2011-01-25,Belgium,22720,3,997,0
2011-02-21,Belgium,22720,3,994,0
2011-07-27,Belgium,22720,3,991,0
2011-10-21,Belgium,22720,3,988,0
2011-10-31,Belgium,22720,3,985,0
2011-11-04,Belgium,22720,3,982,0
2011-03-24,Belgium,22726,12,988,0
2011-06-30,Belgium,22726,4,984,0
2011-07-27,Belgium,22726,4,980,0
2011-08-02,Belgium,22726,8,972,0
2011-09-09,Belgium,22726,4,968,0
2011-09-28,Belgium,22726,4,964,0
2011-10-04,Belgium,22726,4,960,0
2011-10-26,Belgium,22726,12,948,0
2011-11-04,Belgium,22726,8,940,0
2011-11-07,Belgium,22726,16,924,0
2011-11-08,Belgium,22726,4,920,0
2011-11-17,Belgium,22726,8,912,0
2011-03-24,Belgium,22727,16,984,0
2011-05-12,Belgium,22727,4,980,0
2011-06-05,Belgium,22727,4,976,0
2011-07-07,Belgium,22727,4,972,0
2011-07-27,Belgium,22727,4,968,0
2011-08-02,Belgium,22727,8,960,0
2011-09-28,Belgium,22727,4,956,0
2011-10-04,Belgium,22727,4,952,0
2011-10-26,Belgium,22727,8,944,0
2011-11-04,Belgium,22727,8,936,0
2011-11-07,Belgium,22727,16,920,0
2011-11-08,Belgium,22727,4,916,0
2011-11-17,Belgium,22727,8,908,0
2011-01-25,Belgium,22960,6,994,0
2011-10-14,Belgium,22960,6,988,0
2011-05-27,Belgium,22961,12,988,0
2011-07-27,Belgium,22961,12,976,0
2011-10-13,Belgium,22961,24,952,0
2011-03-03,Belgium,22993,12,988,0
2011-05-17,Belgium,23084,6,994,0
2011-05-23,Belgium,23084,6,988,0
2011-06-01,Belgium,23084,24,964,0
2011-06-09,Belgium,23084,12,952,0
2011-06-17,Belgium,23084,6,946,0
2011-08-31,Belgium,23084,24,922,0
2011-11-07,Belgium,23084,48,874,0
2011-11-08,Belgium,23084,6,868,0
2011-11-18,Belgium,23084,48,820,0
2011-11-20,Belgium,23084,6,814,0
2011-05-23,Belgium,23199,10,990,0
2011-06-07,Belgium,23199,10,980,0
2011-06-17,Belgium,23199,10,970,0
2011-09-19,Belgium,23199,10,960,0
2011-09-22,Belgium,23199,10,950,0
2011-10-13,Belgium,23199,20,930,0
2011-12-06,Belgium,23199,10,920,0
2011-05-10,Belgium,23203,10,990,0
2011-05-27,Belgium,23203,10,980,0
2011-06-17,Belgium,23203,10,970,0
2011-10-26,Belgium,23203,10,960,0
2011-11-04,Belgium,23203,10,950,0
2011-12-06,Belgium,23203,10,940,0
2011-04-28,Belgium,23206,10,990,0
2011-06-07,Belgium,23206,10,980,0
2011-07-27,Belgium,23206,10,970,0
2011-08-11,Belgium,23206,10,960,0
2011-09-19,Belgium,23206,10,950,0
2011-11-07,Belgium,23206,10,940,0
2011-05-10,Belgium,23209,10,990,0
2011-07-27,Belgium,23209,10,980,0
2011-08-11,Belgium,23209,10,970,0
2011-08-25,Belgium,23209,10,960,0
2011-10-11,Belgium,23209,10,950,0
2011-11-04,Belgium,23209,10,940,0
2011-05-10,Belgium,23298,9,991,0
2011-08-19,Belgium,23298,3,988,0
2011-11-04,Belgium,23298,3,985,0
2011-08-25,Belgium,23301,12,988,0
2011-04-28,Belgium,47566,4,996,0
2011-08-19,Belgium,47566,4,992,0
2010-12-21,Belgium,84879,8,992,0
2010-12-03,Belgium,85099B,10,990,0
2011-03-21,Belgium,85099B,10,980,0
2011-03-24,Belgium,85099B,10,970,0
2011-04-10,Belgium,85099B,10,960,0
2011-06-07,Belgium,85099B,10,950,0
2011-09-19,Belgium,85099B,10,940,0
2011-09-22,Belgium,85099B,20,920,0
2011-09-28,Belgium,85099B,10,910,0
2011-10-13,Belgium,85099B,10,900,0
2011-12-06,Belgium,85099B,10,890,0
2011-03-24,Belgium,85099C,10,990,0
2010-12-03,Belgium,POST,2,998,0
2010-12-17,Belgium,POST,5,993,0
2010-12-21,Belgium,POST,3,990,0
2010-12-22,Belgium,POST,3,987,0
2011-01-12,Belgium,POST,4,983,0
2011-01-20,Belgium,POST,2,981,0
2011-01-25,Belgium,POST,2,979,0
2011-02-03,Belgium,POST,3,976,0
2011-02-09,Belgium,POST,1,975,0
2011-02-11,Belgium,POST,1,974,0
2011-02-17,Belgium,POST,8,966,0
2011-02-21,Belgium,POST,1,965,0
2011-02-25,Belgium,POST,1,964,0
2011-02-28,Belgium,POST,2,962,0
2011-03-01,Belgium,POST,4,958,0
2011-03-03,Belgium,POST,3,955,0
2011-03-14,Belgium,POST,4,951,0
2011-03-20,Belgium,POST,1,950,0
2011-03-21,Belgium,POST,2,948,0
2011-03-23,Belgium,POST,4,944,0
2011-03-24,Belgium,POST,5,939,0
2011-04-07,Belgium,POST,2,937,0
2011-04-10,Belgium,POST,3,934,0
2011-04-12,Belgium,POST,2,932,0
2011-04-15,Belgium,POST,1,931,0
2011-04-18,Belgium,POST,2,929,0
2011-04-28,Belgium,POST,3,926,0
2011-05-05,Belgium,POST,1,925,0
2011-05-06,Belgium,POST,2,923,0
2011-05-10,Belgium,POST,2,921,0
2011-05-12,Belgium,POST,1,920,0
2011-05-17,Belgium,POST,2,918,0
2011-05-23,Belgium,POST,4,914,0
2011-05-27,Belgium,POST,4,910,0
2011-06-01,Belgium,POST,1,909,0
2011-06-05,Belgium,POST,9,900,0
2011-06-07,Belgium,POST,3,897,0
2011-06-08,Belgium,POST,2,895,0
2011-06-09,Belgium,POST,1,894,0
2011-06-17,Belgium,POST,6,888,0
2011-06-22,Belgium,POST,3,885,0
2011-06-23,Belgium,POST,2,883,0
2011-06-30,Belgium,POST,1,882,0
2011-07-06,Belgium,POST,6,876,0
2011-07-07,Belgium,POST,2,874,0
2011-07-13,Belgium,POST,1,873,0
2011-07-27,Belgium,POST,7,866,0
2011-07-28,Belgium,POST,2,864,0
2011-08-02,Belgium,POST,6,858,0
2011-08-04,Belgium,POST,3,855,0
2011-08-11,Belgium,POST,3,852,0
2011-08-12,Belgium,POST,1,851,0
2011-08-19,Belgium,POST,5,846,0
2011-08-25,Belgium,POST,6,840,0
2011-08-31,Belgium,POST,3,837,0
2011-09-02,Belgium,POST,4,833,0
2011-09-09,Belgium,POST,11,822,0
2011-09-19,Belgium,POST,2,820,0
2011-09-21,Belgium,POST,3,817,0
2011-09-22,Belgium,POST,4,813,0
2011-09-28,Belgium,POST,4,809,0
2011-10-04,Belgium,POST,2,807,0
2011-10-10,Belgium,POST,2,805,0
2011-10-11,Belgium,POST,2,803,0
2011-10-13,Belgium,POST,7,796,0
2011-10-14,Belgium,POST,3,793,0
2011-10-17,Belgium,POST,2,791,0
2011-10-21,Belgium,POST,2,789,0
2011-10-26,Belgium,POST,4,785,0
2011-10-28,Belgium,POST,4,781,0
2011-10-30,Belgium,POST,2,779,0
2011-10-31,Belgium,POST,3,776,0
2011-11-04,Belgium,POST,10,766,0
2011-11-07,Belgium,POST,5,761,0
2011-11-08,Belgium,POST,3,758,0
2011-11-17,Belgium,POST,9,749,0
2011-11-18,Belgium,POST,8,741,0
2011-11-20,Belgium,POST,2,739,0
2011-11-22,Belgium,POST,2,737,0
2011-11-29,Belgium,POST,4,733,0
2011-12-02,Belgium,POST,1,732,0
2011-12-06,Belgium,POST,6,726,0
2011-12-09,Belgium,POST,1,725,0
2011-04-15,Brazil,22382,10,990,0
2011-04-15,Brazil,22423,16,984,0
2011-04-15,Brazil,22697,24,976,0
2011-04-15,Brazil,22699,24,976,0
2011-04-15,Brazil,22993,24,976,0
2011-07-11,Canada,20726,10,990,0
2011-06-20,Canada,20727,50,950,0
2011-07-11,Canada,20728,10,990,0
2011-06-20,Canada,22138,6,994,0
2011-06-20,Canada,22382,30,970,0
2011-06-20,Canada,22383,30,970,0
2011-07-11,Canada,22423,1,999,0
2011-07-11,Canada,22697,6,994,0
2011-07-11,Canada,22699,6,994,0
2011-06-20,Canada,22727,4,996,0
2011-06-20,Canada,23206,10,990,0
2011-03-14,Canada,84879,8,992,0
2011-07-15,Canada,POST,1,999,0
2011-03-02,Channel Islands,20725,10,990,0
2011-03-09,Channel Islands,20725,10,980,0
2011-03-10,Channel Islands,20725,10,970,0
2011-06-17,Channel Islands,20725,10,960,0
2011-08-23,Channel Islands,20725,20,940,0
2011-09-19,Channel Islands,20725,10,930,0
2011-03-02,Channel Islands,20726,10,990,0
2011-03-09,Channel Islands,20727,10,990,0
2011-06-17,Channel Islands,20727,10,980,0
2011-08-23,Channel Islands,20727,10,970,0
2011-09-19,Channel Islands,20727,10,960,0
2011-03-10,Channel Islands,20728,10,990,0
2011-08-23,Channel Islands,20728,10,980,0
2011-03-09,Channel Islands,21080,24,976,0
2011-06-17,Channel Islands,21080,24,952,0
2011-08-23,Channel Islands,21080,24,928,0
2011-11-06,Channel Islands,21080,12,916,0
2011-03-02,Channel Islands,21212,24,976,0
2011-03-09,Channel Islands,21212,24,952,0
2011-06-17,Channel Islands,21212,24,928,0
2011-09-19,Channel Islands,21212,24,904,0
2011-11-06,Channel Islands,21212,24,880,0
2011-03-02,Channel Islands,22077,12,988,0
2011-09-19,Channel Islands,22077,12,976,0
2011-09-26,Channel Islands,22086,6,994,0
2011-10-05,Channel Islands,22086,24,970,0
2011-12-05,Channel Islands,22086,6,964,0
2011-03-10,Channel Islands,22139,3,997,0
2011-10-05,Channel Islands,22178,24,976,0
2011-03-02,Channel Islands,22197,12,988,0
2011-09-19,Channel Islands,22197,48,940,0
2011-03-10,Channel Islands,22382,10,990,0
2011-08-23,Channel Islands,22382,10,980,0
2011-09-19,Channel Islands,22382,10,970,0
2011-03-10,Channel Islands,22383,10,990,0
2011-03-09,Channel Islands,22384,10,990,0
2011-03-10,Channel Islands,22384,10,980,0
2011-06-17,Channel Islands,22384,10,970,0
2011-08-23,Channel Islands,22384,10,960,0
2011-09-19,Channel Islands,22384,10,950,0
2011-08-21,Channel Islands,22386,200,800,0
2011-03-02,Channel Islands,22423,4,996,0
2011-03-09,Channel Islands,22423,2,994,0
2011-06-17,Channel Islands,22423,24,970,0
2011-08-23,Channel Islands,22423,12,958,0
2011-09-19,Channel Islands,22423,2,956,0
2011-08-23,Channel Islands,22457,6,994,0
2011-01-27,Channel Islands,22469,12,988,0
2011-03-10,Channel Islands,22469,12,976,0
2011-01-27,Channel Islands,22470,6,994,0
2011-03-10,Channel Islands,22470,6,988,0
2011-04-13,Channel Islands,22666,12,988,0
2011-02-15,Channel Islands,22720,96,904,0
2011-03-02,Channel Islands,22727,4,996,0
2011-06-17,Channel Islands,22727,4,992,0
2011-09-19,Channel Islands,22727,12,980,0
2011-02-15,Channel Islands,22960,48,952,0
2011-04-13,Channel Islands,22960,12,940,0
2011-06-17,Channel Islands,22960,6,934,0
2011-03-09,Channel Islands,22961,12,988,0
2011-06-17,Channel Islands,22961,12,976,0
2011-11-06,Channel Islands,22961,12,964,0
2011-08-21,Channel Islands,23199,200,800,0
2011-08-23,Channel Islands,23199,10,790,0
2011-10-05,Channel Islands,23199,10,780,0
2011-08-23,Channel Islands,23203,10,990,0
2011-10-05,Channel Islands,23203,10,980,0
2011-04-13,Channel Islands,23206,20,980,0
2011-08-23,Channel Islands,23206,10,970,0
2011-08-23,Channel Islands,23209,10,990,0
2011-09-19,Channel Islands,23209,10,980,0
2011-10-05,Channel Islands,23301,12,988,0
2011-06-17,Channel Islands,47566,12,988,0
2011-08-23,Channel Islands,47566,28,960,0
2011-03-10,Channel Islands,84879,8,992,0
2011-03-10,Channel Islands,85099B,10,990,0
2011-06-17,Channel Islands,85099B,10,980,0
2011-08-21,Channel Islands,85099B,200,780,0
2011-08-23,Channel Islands,85099B,20,760,0
2011-11-06,Channel Islands,85099B,10,750,0
2011-06-17,Channel Islands,85099C,10,990,0
2011-08-21,Channel Islands,85099C,200,790,0
2011-11-06,Channel Islands,85099C,10,780,0
2011-03-10,Channel Islands,85123A,12,988,0
2011-08-01,Channel Islands,85123A,12,976,0
2011-10-14,Channel Islands,85123A,72,904,0
2011-11-06,Channel Islands,85123A,12,892,0
2011-11-18,Cyprus,20725,1,999,0
2011-11-18,Cyprus,21034,1,999,0
2011-02-07,Cyprus,21790,12,988,0
2011-02-07,Cyprus,21931,10,990,0
2011-10-13,Cyprus,21931,10,980,0
2011-10-07,Cyprus,22138,3,997,0
2011-10-07,Cyprus,22197,12,988,0
2011-11-18,Cyprus,22384,1,999,0
2011-02-07,Cyprus,22411,10,990,0
2011-01-12,Cyprus,22423,6,994,0
2011-02-07,Cyprus,22423,1,993,0
2011-02-21,Cyprus,22423,1,992,0
2011-06-03,Cyprus,22423,8,984,0
2011-10-07,Cyprus,22423,1,983,0
2011-10-13,Cyprus,22423,13,970,0
2011-01-12,Cyprus,22666,6,994,0
2011-02-07,Cyprus,22666,6,988,0
2011-02-07,Cyprus,22697,6,994,0
2011-02-21,Cyprus,22697,6,988,0
2011-10-13,Cyprus,22697,6,982,0
2011-02-07,Cyprus,22699,6,994,0
2011-02-21,Cyprus,22699,6,988,0
2011-06-03,Cyprus,22699,6,982,0
2011-10-13,Cyprus,22699,6,976,0
2011-01-12,Cyprus,22720,3,997,0
2011-10-07,Cyprus,22720,3,994,0
2011-10-13,Cyprus,22720,3,991,0
2011-10-13,Cyprus,22726,4,996,0
2011-10-13,Cyprus,22727,4,996,0
2011-02-07,Cyprus,22960,6,994,0
2011-02-07,Cyprus,22961,12,988,0
2011-06-03,Cyprus,22993,24,976,0
2011-06-03,Cyprus,23199,10,990,0
2011-10-13,Cyprus,23199,10,980,0
2011-06-03,Cyprus,23206,10,990,0
2011-06-03,Cyprus,23298,3,997,0
2011-11-18,Cyprus,23298,1,996,0
2011-10-13,Cyprus,23301,12,988,0
2010-12-14,Cyprus,47566,1,999,0
2011-02-07,Cyprus,47566,5,994,0
2011-11-18,Cyprus,47566,1,993,0
2010-12-14,Cyprus,84879,24,976,0
2011-10-19,Cyprus,84879,24,952,0
2011-10-19,Cyprus,84946,12,988,0
2011-02-07,Cyprus,82494L,2,998,0
2011-10-13,Cyprus,85099B,10,990,0
2011-06-03,Cyprus,85099C,10,990,0
2010-12-14,Cyprus,85123A,64,936,0
2011-02-07,Cyprus,85123A,8,928,0
2011-02-16,Cyprus,85123A,32,896,0
